Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src
lab-grown-diamond-ring-0001,Lab Grown Diamond Ring Model 0001,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0001,13,21958,,
lab-grown-diamond-ring-0002,Lab Grown Diamond Ring Model 0002,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0002,7,106471,,
lab-grown-diamond-ring-0003,Lab Grown Diamond Ring Model 0003,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0003,1,27500,,
lab-grown-diamond-ring-0004,Lab Grown Diamond Ring Model 0004,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0004,16,130371,158691,
lab-grown-diamond-ring-0005,Lab Grown Diamond Ring Model 0005,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0005,11,19671,,
lab-grown-diamond-ring-0006,Lab Grown Diamond Ring Model 0006,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0006,3,111538,,
lab-grown-diamond-ring-0007,Lab Grown Diamond Ring Model 0007,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0007,12,77266,107226,
lab-grown-diamond-ring-0008,Lab Grown Diamond Ring Model 0008,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,18,SKU-LA-RI-0008,12,113851,,
lab-grown-diamond-ring-0009,Lab Grown Diamond Ring Model 0009,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0009,11,146078,,
lab-grown-diamond-ring-0010,Lab Grown Diamond Ring Model 0010,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0010,9,148023,,
lab-grown-diamond-ring-0011,Lab Grown Diamond Ring Model 0011,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0011,6,66995,,
lab-grown-diamond-ring-0012,Lab Grown Diamond Ring Model 0012,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0012,7,85890,,
lab-grown-diamond-ring-0013,Lab Grown Diamond Ring Model 0013,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,17,SKU-LA-RI-0013,18,54138,,
lab-grown-diamond-ring-0014,Lab Grown Diamond Ring Model 0014,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0014,8,56189,,
lab-grown-diamond-ring-0015,Lab Grown Diamond Ring Model 0015,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0015,14,17134,,
lab-grown-diamond-ring-0016,Lab Grown Diamond Ring Model 0016,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0016,11,73218,94592,
lab-grown-diamond-ring-0017,Lab Grown Diamond Ring Model 0017,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0017,17,30572,,
lab-grown-diamond-ring-0018,Lab Grown Diamond Ring Model 0018,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0018,18,20137,,
lab-grown-diamond-ring-0019,Lab Grown Diamond Ring Model 0019,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0019,15,24352,,
lab-grown-diamond-ring-0020,Lab Grown Diamond Ring Model 0020,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0020,15,125781,,
lab-grown-diamond-ring-0021,Lab Grown Diamond Ring Model 0021,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,10,SKU-LA-RI-0021,11,57632,,
lab-grown-diamond-ring-0022,Lab Grown Diamond Ring Model 0022,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0022,6,15833,,
lab-grown-diamond-ring-0023,Lab Grown Diamond Ring Model 0023,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0023,16,143733,193799,
lab-grown-diamond-ring-0024,Lab Grown Diamond Ring Model 0024,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0024,8,129878,,
lab-grown-diamond-ring-0025,Lab Grown Diamond Ring Model 0025,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0025,13,45846,,
lab-grown-diamond-ring-0026,Lab Grown Diamond Ring Model 0026,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,17,SKU-LA-RI-0026,10,48781,,
lab-grown-diamond-ring-0027,Lab Grown Diamond Ring Model 0027,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,10,SKU-LA-RI-0027,16,84080,,
lab-grown-diamond-ring-0028,Lab Grown Diamond Ring Model 0028,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0028,17,69296,,
lab-grown-diamond-ring-0029,Lab Grown Diamond Ring Model 0029,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0029,11,81338,,
lab-grown-diamond-ring-0030,Lab Grown Diamond Ring Model 0030,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,10,SKU-LA-RI-0030,4,86783,,
lab-grown-diamond-ring-0031,Lab Grown Diamond Ring Model 0031,<p>Exquisite lab grown diamond ring designed for elegance and durability. Perfect for any occasion.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,11,SKU-LA-RI-0031,13,55208,,
